operator,dtype,size,density,outputsize,time_us
compress_128_0.1_fp16,fp16,327680,0.1,32745,262.19
compress_128_0.1_fp16,fp16,5570560,0.1,557994,292.16
compress_128_0.1_fp16,fp16,10813440,0.1,1081734,341.41
compress_128_0.1_fp16,fp16,16056320,0.1,1605183,406.31
compress_128_0.1_fp16,fp16,21299200,0.1,2130749,461.33
compress_128_0.1_fp16,fp16,26542080,0.1,2655318,517.60
compress_128_0.1_fp16,fp16,31784960,0.1,3178357,574.42
compress_128_0.1_fp16,fp16,37027840,0.1,3705318,600.83
compress_128_0.1_fp16,fp16,42270720,0.1,4225077,637.16
compress_128_0.1_fp16,fp16,47513600,0.1,4747753,673.71
compress_128_0.1_fp16,fp16,52756480,0.1,5277201,717.65
compress_128_0.1_fp16,fp16,57999360,0.1,5796147,751.83
compress_128_0.1_fp16,fp16,63242240,0.1,6323035,777.80
compress_128_0.1_fp16,fp16,68485120,0.1,6845077,823.04
compress_128_0.1_fp16,fp16,73728000,0.1,7374092,841.47
compress_128_0.1_fp16,fp16,78970880,0.1,7891853,878.51
compress_128_0.1_fp16,fp16,84213760,0.1,8424604,922.47
compress_128_0.1_fp16,fp16,89456640,0.1,8944086,968.92
compress_128_0.1_fp16,fp16,94699520,0.1,9470545,998.32
compress_128_0.1_fp16,fp16,99942400,0.1,9990077,1044.62
